X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1767774.514,5915373.475,1,23788,50888,BRAMLEY DR,FIELDING CRES (WEST),FIELDING CRES (EAST),522,Yes,2002/03/21 00:00:00+00,,,451,,,,,,,,,1767774.514,5915373.475
1752173.715,5876739.736,2,34813,70028,AWHITU RD,KING ST (SUMPS RHS),MILLBROOK DR,230,Yes,2012/03/22 00:00:00+00,1700,,3831,407,92,4,3,1,0,0,4,1752173.715,5876739.736
1749560.316,5881081.684,3,58,70028,AWHITU RD,WAIPIPI WHARF RD (POWERPOLE LHS),CRAIG RD,5830,Yes,2004/06/11 00:00:00+00,8:00,,613,86,81,9,3,4,3,0,10,1749560.316,5881081.684
1749372.95,5881710.776,4,1826,70028,AWHITU RD,CRAIG RD,GORDON RD,6522,Yes,1990/04/16 00:00:00+00,,,1380,,81,9,3,4,3,0,10,1749372.95,5881710.776
1742996.5,5889536.77,5,1627,70028,AWHITU RD,WEST COAST RD,FIELDING RD (SIGN),23199,Yes,1997/02/16 00:00:00+00,,,858,,81,9,3,4,3,0,10,1742996.5,5889536.77
1743410.683,5891416.326,6,1768,70028,AWHITU RD,KEMP RD,MATAKAWAU RD,26056,Yes,2003/06/17 00:00:00+00,,,844,,86,8,3,2,1,0,6,1743410.683,5891416.326
1744714.034,5894866.941,7,133,70028,AWHITU RD,COLBECK RD (POWERPOLE RHS),AWHITU CENTRAL RD,30814,Yes,2009/06/18 00:00:00+00,1300,,437,0,92,3,4,0,1,0,5,1744714.034,5894866.941
1744701.93,5893169.402,8,1512,70070,BROOK RD,AWHITU RD,WALTERS RD (SIGN),50,Yes,2007/11/27 00:00:00+00,15:00,,242,51,92,4,3,1,0,0,4,1744701.93,5893169.402
1746239.943,5883774.573,9,1384,70121,COOPER RD (AWHITU),AWHITU RD,TE TORO RD,50,Yes,2004/10/07 00:00:00+00,7:00,,37,11,0,97,3,0,0,0,3,1746239.943,5883774.573
1749375.695,5881198.352,10,1367,70129,CRAIG RD,AWHITU RD,OLDFIELD RD (POWERPOLE RHS),85,Yes,2009/06/29 00:00:00+00,1700,,196,0,92,5,2,1,0,0,3,1749375.695,5881198.352
1749411.464,5880443.196,11,34815,70130,CREAMERY RD (WAIPIPI),AWHITU RD (POWERPOLE RHS),KEOGH RD,95,Yes,2005/11/19 00:00:00+00,8:00,,334,120,89,2,8,1,0,0,9,1749411.464,5880443.196
1743857.287,5884144.995,12,1323,70152,DOUGLAS RD (AWHITU),AWHITU RD,END,50,Yes,2000/10/21 00:00:00+00,,,64,,81,9,3,4,3,0,10,1743857.287,5884144.995
1745139.174,5887657.338,13,2611,70212,GIVEN RD,MARTIN RD,CAPES RD,2973,Yes,2009/06/18 00:00:00+00,1500,,90,0,93,2,4,1,0,0,5,1745139.174,5887657.338
1744092.634,5891942.113,14,1074,70243,HATTON RD (AWHITU),AWHITU RD,END,50,Yes,1997/12/07 00:00:00+00,,,95,,81,9,3,4,3,0,10,1744092.634,5891942.113
1750682.874,5877940.323,15,947,70300,KAIHAU RD,AWHITU RD,GAZELLE RD (POWERPOLE LHS),350,Yes,2009/06/20 00:00:00+00,1600,,150,0,90,3,5,1,1,0,7,1750682.874,5877940.323
1741055.044,5893426.02,16,916,70312,KEMP RD (AWHITU),AWHITU RD,AWHITU CENTRAL RD,4225,Yes,2008/01/27 00:00:00+00,14:00,,173,34,92,2,2,1,3,0,6,1741055.044,5893426.02
1746624.703,5882330.626,17,864,70326,KOHEKOHE-KARIOITAHI RD,AWHITU RD,B.WESTHEAD RD,340,Yes,2011/06/11 00:00:00+00,1600,,95,20,81,9,3,4,3,0,10,1746624.703,5882330.626
